mouse.time,mouse.clicked_name,num_distr,,,,,,,mouse.time,,,,mouse.time
2.6202314,target,5,,,,,,,2.6202314,,,,2.6202314
[1.7779270999599248],None,10,,,,,,,1.9119502,,,,2.803405
1.9119502,target,10,,,mean RT,3.224931463,,,1.7631315,,1.9119502,,2.4184222
1.7631315,target,10,,,,,,,1.4629451,,1.7631315,,3.2059155
1.4629451,target,10,,,set size 10 mean RT,3.632392668,,,2.803405,,1.4629451,,2.5237349
2.803405,target,5,,,set size 5 mean RT,2.777171557,,,2.2966096,,2.2966096,,2.5696718
2.2966096,target,10,,,,,,,2.5615391,,2.5615391,,1.5906025
2.5615391,target,10,,,slope,0.1694,,,4.2444113,,4.2444113,,2.3902776
4.2444113,target,10,,,,,,,2.4184222,,2.7948608,,2.636265
2.4184222,target,5,,,,,,,3.2059155,,2.2994478,,3.286652
3.2059155,target,5,,,,,,,2.7948608,,2.7832015,,2.0697779
2.7948608,target,10,,,,,,,2.5237349,,5.7589365,,2.599614
2.5237349,target,5,,,,,,,2.2994478,,2.6655783,,2.4186105
[2.195528600132093],None,10,,,,,,,2.5696718,,5.4077909,,3.0885532
2.2994478,target,10,,,,,,,2.7832015,,3.3456073,,3.7988797
2.5696718,target,5,,,,,,,5.7589365,,4.5238773,,2.1058253
[1.8854499000590295],None,5,,,,,,,2.6655783,,3.6603938,,2.7563637
[0.4959831000305712],None,10,,,,,,,1.5906025,,4.8821353,,2.1868744
2.7832015,target,10,,,,,,,5.4077909,,3.1950073,,4.4049236
5.7589365,target,10,,,,,,,2.3902776,,5.2124284,,1.9207485
2.6655783,target,10,,,,,,,3.3456073,,1.9160658,,3.2358215
1.5906025,target,5,,,,,,,4.5238773,,3.1309033,,1.7720206
5.4077909,target,10,,,,,,,3.6603938,,3.6202038,,2.1711456
2.3902776,target,5,,,,,,,2.636265,,4.8760621,,3.3012886
3.3456073,target,10,,,,,,,3.286652,,1.8797516,,3.1687395
4.5238773,target,10,,,,,,,2.0697779,,2.9612947,,2.2546849
3.6603938,target,10,,,,,,,4.8821353,,3.0285527,,2.336428
2.636265,target,5,,,,,,,3.1950073,,6.2595881,,1.9845952
[2.059942299965769],None,10,,,,,,,5.2124284,,3.1962883,,3.786695
3.286652,target,5,,,,,,,2.599614,,5.7429105,,2.8011567
2.0697779,target,5,,,,,,,1.9160658,,3.6110112,,3.0889086
4.8821353,target,10,,,,,,,3.1309033,,1.5825324,,3.552688
3.1950073,target,10,,,,,,,2.4186105,,3.811371,,2.5348237
5.2124284,target,10,,,,,,,3.0885532,,2.9287597,,2.1538208
2.599614,target,5,,,,,,,3.6202038,,3.9775467,,3.7677847
1.9160658,target,10,,,,,,,3.7988797,,2.9955798,,4.2507117
3.1309033,target,10,,,,,,,2.1058253,,3.8934748,,3.3026219
2.4186105,target,5,,,,,,,2.7563637,,2.5273509,,3.8892302
3.0885532,target,5,,,,,,,2.1868744,,2.4303436,,3.0522383
3.6202038,target,10,,,,,,,4.4049236,,9.2062975,,4.8174086
[1.8863975000567734],None,5,,,,,,,4.8760621,,3.9440248,,1.7739256
3.7988797,target,5,,,,,,,1.9207485,,4.9764003,,2.98741
2.1058253,target,5,,,,,,,1.8797516,,2.8981581,,2.6547737
