mouse.time,mouse.clicked_name,num_distr,,,,
10.3668036,['target'],10,,,,
2.7778389,['target'],10,,,,
2.1969476,['target'],10,,,mean RTs ,3.1277
1.7878317,['target'],5,,,mean RT set size 5,2.8686
3.6973143,['target'],10,,,mean RT set size 10 ,2.8686
3.5330957,['target'],10,,,,
2.0632991,['target'],10,,,slope,0.097
3.8679407,['target'],5,,,,
2.4714213,['target'],5,,,,
2.279927,['target'],10,,,,
3.3972127,['target'],10,,,,
3.8115081,['target'],10,,,,
3.608424,[None],10,,,,
2.8054309,['target'],5,,,,
1.6516421,['target'],5,,,,
1.6662194,['target'],10,,,,
2.3868629,['target'],5,,,,
4.0292993,['target'],10,,,,
6.8843038,['target'],5,,,,
2.3447221,['target'],10,,,,
2.0648609,['target'],10,,,,
2.1194977,['target'],5,,,,
2.9210217,['target'],5,,,,
1.7222066,['target'],5,,,,
1.4216823,['target'],5,,,,
4.2764258,['target'],10,,,,
4.7819914,['target'],5,,,,
3.9065039,['target'],5,,,,
4.0280479,['target'],10,,,,
3.5101495,['target'],10,,,,
4.5487109,['target'],10,,,,
3.9615198,['target'],10,,,,
3.3451658,['target'],10,,,,
2.6272801,['target'],10,,,,
2.1956058,['target'],10,,,,
2.6952761,['target'],10,,,,
3.6608592,['target'],10,,,,
1.7406297,['target'],5,,,,
2.1025357,['target'],5,,,,
2.6696955,['target'],5,,,,
3.3411361,['target'],10,,,,
2.5311264,['target'],10,,,,
2.5555351,['target'],5,,,,
4.5941797,['target'],10,,,,
2.9123085,['target'],10,,,,
3.268814,['target'],5,,,,
3.5278047,['target'],10,,,,
2.6880941,['target'],5,,,,
2.1835459,['target'],5,,,,
2.2863881,['target'],5,,,,
1.8748532,['target'],10,,,,
2.9693654,['target'],5,,,,
3.1936223,['target'],10,,,,
3.1643914,['target'],10,,,,
0.7377884,[None],5,,,,
2.1368637,['target'],5,,,,
3.1623649,['target'],10,,,,
3.6354577,['target'],5,,,,
3.89381,['target'],10,,,,
3.6851646,['target'],5,,,,
2.2880648,['target'],5,,,,
5.1758879,['target'],10,,,,
2.3384064,['target'],5,,,,
2.793061,['target'],10,,,,
1.7303276,['target'],10,,,,
1.9465075,['target'],10,,,,
2.1055273,['target'],5,,,,
1.9022361,['target'],5,,,,
4.6007251,['target'],5,,,,
4.0887211,['target'],5,,,,
4.9834401,['target'],5,,,,
3.0959812,['target'],10,,,,
3.7791064,['target'],10,,,,
2.5288082,['target'],10,,,,
1.9373394,[None],5,,,,
1.4456935,[None],10,,,,
2.0857948,['target'],5,,,,
4.6950811,['target'],10,,,,
3.4781685,['target'],10,,,,
2.3187251,['target'],5,,,,
3.7501235,['target'],5,,,,
3.577748,['target'],10,,,,
1.6410099,['target'],5,,,,
1.9796387,['target'],10,,,,
1.5525881,['target'],5,,,,
6.4949476,['target'],10,,,,
3.1554676,['target'],5,,,,
3.4773912,['target'],10,,,,
2.1824511,['target'],10,,,,
6.2410535,['target'],10,,,,
1.7901148,['target'],5,,,,
2.0126297,['target'],10,,,,
4.8755443,['target'],10,,,,
3.5701492,['target'],5,,,,
2.0462982,['target'],10,,,,
2.4978452,['target'],10,,,,
3.2138419,['target'],10,,,,
3.6120505,['target'],10,,,,
3.7319282,['target'],10,,,,
2.1376859,['target'],5,,,,
2.5122984,['target'],10,,,,
3.6938325,['target'],10,,,,
3.6296988,['target'],10,,,,
3.5844447,['target'],5,,,,
3.2130996,['target'],10,,,,
2.5549718,['target'],5,,,,
0.8198102,[None],5,,,,
2.9637945,['target'],10,,,,
2.9195137,['target'],5,,,,
2.9345193,['target'],5,,,,
1.0041285,['target'],5,,,,
3.4438596,['target'],10,,,,
1.8727282,['target'],5,,,,
1.9353817,['target'],5,,,,
7.4927336,['target'],10,,,,
2.4688928,['target'],10,,,,
1.8023628,['target'],5,,,,
3.9111049,['target'],10,,,,
2.4793465,['target'],10,,,,
5.1788648,['target'],10,,,,
