reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,t,3.094057399954181,None,0,0,0,5,0.07171859999652952,,0.06789179996121675,0.07171859999652952,0.9932795999920927,0.9932795999920927,1.0686606999952346,4.106400199991185,t,3.094057399954181,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,1,1,0,l,1.7854863000102341,None,0,1,1,0,4.121446399949491,,4.116458099975716,4.121446399949491,5.101397999969777,5.101397999969777,5.118196800001897,6.894253699982073,l,1.7854863000102341,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,2,2,0,t,2.0218678999808617,None,0,2,2,6,6.9042353999684565,,6.901657699956559,6.9042353999684565,7.884752299985848,7.884752299985848,7.901659699971788,9.910574699984863,t,2.0218678999808617,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,3,3,0,l,5.817533000023104,None,0,3,3,2,9.920552199997474,,9.917513999971561,9.920552199997474,10.901806999987457,10.901806999987457,10.918346799968276,16.727095899987034,l,5.817533000023104,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
40,55,62,4,4,0,t,0.9352941000252031,None,0,4,4,3,16.74030019994825,,16.737282199959736,16.74030019994825,17.717824599996675,17.717824599996675,17.734763199987356,18.660890200000722,t,0.9352941000252031,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,5,5,0,t,2.378607299993746,None,0,5,5,4,18.66961609997088,,18.667133699986152,18.66961609997088,19.659190299978945,19.659190299978945,19.667473699955735,22.0435293999617,t,2.378607299993746,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,6,6,0,l,1.7405297000077553,None,0,6,6,1,22.050882299954537,,22.047856999968644,22.050882299954537,23.034336999990046,23.034336999990046,23.04249619995244,24.777176499948837,l,1.7405297000077553,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,7,0,1,l,2.0729728000005707,None,1,0,7,1,24.78429869998945,,24.77745379996486,24.78429869998945,25.767915199976414,25.767915199976414,25.776977899949998,27.843256799969822,l,2.0729728000005707,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
67,75,119,8,1,1,t,2.243984400003683,None,1,1,8,5,27.851313399965875,,27.848111099970993,27.851313399965875,28.83438789995853,28.83438789995853,28.84272829996189,31.085418799950276,t,2.243984400003683,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,9,2,1,l,2.5738218000042252,None,1,2,9,0,31.09531429997878,,31.092220999998972,31.09531429997878,32.08439679996809,32.08439679996809,32.09259759995621,34.66047399997478,l,2.5738218000042252,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,10,3,1,l,6.180245399998967,None,1,3,10,4,34.66834849998122,,34.66540839994559,34.66834849998122,35.65932509995764,35.65932509995764,35.65932509995764,41.842771199997514,l,6.180245399998967,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
40,55,62,11,4,1,t,3.2686246000230312,None,1,4,11,3,41.85035989998141,,41.84732989995973,41.85035989998141,42.83422249997966,42.83422249997966,42.842579299991485,46.109884799981955,t,3.2686246000230312,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,12,5,1,t,1.1605263999663293,None,1,5,12,6,46.117728999990504,,46.11521099996753,46.117728999990504,47.10886829998344,47.10886829998344,47.10886829998344,48.276298599957954,t,1.1605263999663293,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,13,6,1,l,5.324109299981501,None,1,6,13,2,48.283658999949694,,48.280861699953675,48.283658999949694,49.2675216999487,49.2675216999487,49.27603889995953,54.592969199991785,l,5.324109299981501,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,14,0,2,l,1.8474758000229485,None,2,0,14,1,54.60258789994987,,54.599657399987336,54.60258789994987,55.58385489997454,55.58385489997454,55.600807899958454,57.434719799959566,l,1.8474758000229485,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
40,55,62,15,1,2,t,15.234287700033747,None,2,1,15,3,57.443894399970304,,57.440664699999616,57.443894399970304,58.4335186999524,58.4335186999524,58.44266479997896,73.6683570999885,t,15.234287700033747,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,16,2,2,l,1.295572099974379,None,2,2,16,0,73.67576769995503,,73.67301669996232,73.67576769995503,74.66695439995965,74.66695439995965,74.66695439995965,75.96780969999963,l,1.295572099974379,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,17,3,2,t,1.9337981999851763,None,2,3,17,2,75.97779239999363,,75.97470359998988,75.97779239999363,76.95882529998198,76.95882529998198,76.97550329996739,78.90123019996099,t,1.9337981999851763,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,18,4,2,t,1.811960100021679,None,2,4,18,4,78.90810359996976,,78.90545839996776,78.90810359996976,79.90020089998143,79.90020089998143,79.90020089998143,81.71766679995926,t,1.811960100021679,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,19,5,2,t,1.658767800021451,None,2,5,19,6,81.72676329995738,,81.72364219999872,81.72676329995738,82.70826619997388,82.70826619997388,82.72516959998757,84.37551159999566,t,1.658767800021451,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
67,75,119,20,6,2,t,1.4325735999736935,None,2,6,20,5,84.38321800000267,,84.38053799996851,84.38321800000267,85.36687869997695,85.36687869997695,85.37509059999138,86.80080199998338,t,1.4325735999736935,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,21,0,3,l,1.1490375000284985,None,3,0,21,0,86.80902729998343,,86.80596879997756,86.80902729998343,87.79173889994854,87.79173889994854,87.80006089998642,88.94309089996386,l,1.1490375000284985,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,22,1,3,l,2.3891926999785937,None,3,1,22,1,88.95219649997307,,88.94934869999997,88.95219649997307,89.94144450000022,89.94144450000022,89.9500264999806,92.33385999995517,l,2.3891926999785937,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
40,55,62,23,2,3,t,15.754854700004216,None,3,2,23,3,92.341585999995,,92.33878209994873,92.341585999995,93.32500439998694,93.32500439998694,93.33337109995773,109.0838431000011,t,15.754854700004216,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,24,3,3,t,1.7126161999767646,None,3,3,24,6,109.09295639995253,,109.08986899995944,109.09295639995253,110.07468679995509,110.07468679995509,110.09123429999454,111.7917640999658,t,1.7126161999767646,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,25,4,3,l,3.394403800019063,None,3,4,25,2,111.79972319997614,,111.79641739994986,111.79972319997614,112.78285629994934,112.78285629994934,112.79133369994815,116.18321389995981,l,3.394403800019063,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
67,75,119,26,5,3,t,2.5908699999563396,None,3,5,26,5,116.1910328999511,,116.1880259999889,116.1910328999511,117.17478579998715,117.17478579998715,117.18292579997797,119.76679799996782,t,2.5908699999563396,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,27,6,3,t,3.793679299997166,None,3,6,27,4,119.77430709998589,,119.7713544999715,119.77430709998589,120.76567989995237,120.76567989995237,120.76567989995237,124.56688299996313,t,3.793679299997166,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,28,0,4,l,2.474822399963159,None,4,0,28,4,124.57445039995946,,124.56713589996798,124.57445039995946,125.56601359997876,125.56601359997876,125.56601359997876,128.0419671999989,l,2.474822399963159,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,29,1,4,t,3.530095499998424,None,4,1,29,6,128.04994549998082,,128.04694909998216,128.04994549998082,129.03273079998326,129.03273079998326,129.0409542999696,132.5666052000015,t,3.530095499998424,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
40,55,62,30,2,4,t,1.9235451000276953,None,4,2,30,3,132.57467139995424,,132.57161449996056,132.57467139995424,133.55749809998088,133.55749809998088,133.56593619997147,135.48365189996548,t,1.9235451000276953,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,31,3,4,l,0.9107231000089087,None,4,3,31,1,135.49354689999018,,135.49035499995807,135.49354689999018,136.48232139996253,136.48232139996253,136.490952299966,137.4003227999783,l,0.9107231000089087,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
67,75,119,32,4,4,t,0.9736083000316285,None,4,4,32,5,137.4090721999528,,137.40665599994827,137.4090721999528,138.3989406999899,138.3989406999899,138.40751949994592,139.3752110999776,t,0.9736083000316285,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,33,5,4,l,0.8883651000214741,None,4,5,33,0,139.38550109998323,,139.3823330999585,139.38550109998323,140.37420510000084,140.37420510000084,140.3823511999799,141.26644969999325,l,0.8883651000214741,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,34,6,4,l,1.3554660999798216,None,4,6,34,2,141.27494729997125,,141.27137659996515,141.27494729997125,142.2573754999903,142.2573754999903,142.26577989995712,143.61640859994804,l,1.3554660999798216,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
27,50,21,35,0,5,t,4.606386300001759,None,5,0,35,2,143.62397939997027,,143.6167072999524,143.62397939997027,144.60715659998823,144.60715659998823,144.61535399995046,149.21570079994854,t,4.606386300001759,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
49,60,89,36,1,5,t,1.3278448999626562,None,5,1,36,4,149.2245205999934,,149.2209748000023,149.2245205999934,150.20729779999238,150.20729779999238,150.2157463999465,151.54123739997158,t,1.3278448999626562,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
67,75,119,37,2,5,t,0.7155614999937825,None,5,2,37,5,151.54978739999933,,151.54680419998476,151.54978739999933,152.53234979999252,152.53234979999252,152.54032939998433,153.2501510999864,t,0.7155614999937825,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
78,80,162,38,3,5,t,0.6997090999502689,None,5,3,38,6,153.2579050999484,,153.25489699997706,153.2579050999484,154.24866559996735,154.24866559996735,154.24866559996735,154.94911869999487,t,0.6997090999502689,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
11,30,7,39,4,5,l,0.9891928000142798,None,5,4,39,0,154.9581108999555,,154.95374629995786,154.9581108999555,155.94011460000183,155.94011460000183,155.95737319998443,156.93264610000188,l,0.9891928000142798,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
15,35,13,40,5,5,l,1.0486037000082433,None,5,5,40,1,156.9403350999928,,156.93728089996148,156.9403350999928,157.92347229999723,157.92347229999723,157.93174579995684,158.9746747999452,l,1.0486037000082433,None,312180,001,2025-11-03_09h53.43.855,delay discounting,,2025.1.1,125.51145922978657,2025-11-03 09h53.46.976654 +0530,
