mouse.time,mouse.clicked_name,num_distr,,,,
3.7947022,['target'],5,,,,
1.5505174,['target'],10,,,,
1.9682736,['target'],5,,,mean RTs,3.077
2.0984644,['target'],10,,,mean RT set size 5,2.6919
1.8418494,['target'],5,,,mean RT set size 10,3.5144
2.1673477,['target'],5,,,,
3.3390192,['target'],5,,,slope,0.1645
2.5498444,['target'],5,,,,
1.8311383,['target'],10,,,,
2.5466857,['target'],10,,,,
1.7028111,['target'],5,,,,
2.6841197,['target'],5,,,,
1.9967565,['target'],10,,,,
2.4241444,['target'],5,,,,
3.8018949,[None],5,,,,
1.4349198,['target'],5,,,,
3.4453211,['target'],10,,,,
2.2378842,['target'],5,,,,
5.1088147,['target'],10,,,,
1.6139748,['target'],10,,,,
2.9937877,['target'],10,,,,
2.3549585,[None],5,,,,
3.0785977,['target'],10,,,,
1.5464189,[None],10,,,,
3.9634089,['target'],10,,,,
2.8181713,['target'],5,,,,
3.7690032,['target'],5,,,,
3.6853021,['target'],5,,,,
2.5179843,[None],5,,,,
4.1622582,['target'],10,,,,
2.2983101,['target'],10,,,,
3.1023608,['target'],5,,,,
2.7842032,['target'],5,,,,
2.5519202,['target'],5,,,,
2.7844761,[None],5,,,,
5.7760114,['target'],10,,,,
2.5446315,['target'],10,,,,
3.4263803,['target'],10,,,,
4.3609372,[None],10,,,,
2.8346374,['target'],5,,,,
4.4773989,['target'],10,,,,
3.9173819,[None],10,,,,
3.1344999,['target'],5,,,,
3.2675563,['target'],5,,,,
2.6684645,['target'],5,,,,
3.7936554,['target'],10,,,,
2.4585552,['target'],5,,,,
3.5513975,['target'],5,,,,
1.8377521,['target'],5,,,,
2.3187561,[None],5,,,,
2.2840876,[None],5,,,,
1.7737672,['target'],5,,,,
2.3023014,['target'],5,,,,
4.1092492,['target'],10,,,,
3.5188261,['target'],5,,,,
5.059355,['target'],10,,,,
2.9903046,['target'],5,,,,
4.4098669,['target'],10,,,,
1.6546148,['target'],5,,,,
3.2630232,['target'],10,,,,
0.740341,['target'],5,,,,
0.2878258,[None],5,,,,
0.5815975,[None],10,,,,
2.4867966,['target'],5,,,,
1.7704992,['target'],5,,,,
2.9206514,['target'],5,,,,
2.2199971,[None],5,,,,
1.5055575,[None],5,,,,
2.8791997,['target'],10,,,,
4.1604408,['target'],10,,,,
2.9531826,[None],5,,,,
1.7487444,['target'],10,,,,
3.0855779,['target'],5,,,,
2.9738097,['target'],5,,,,
3.260966,['target'],10,,,,
2.0739099,['target'],5,,,,
7.4292485,['target'],10,,,,
2.2874058,['target'],5,,,,
4.6611207,['target'],10,,,,
2.0224005,[None],5,,,,
2.3123281,['target'],10,,,,
3.3481557,['target'],10,,,,
2.6391266,['target'],5,,,,
3.4736938,[None],5,,,,
4.0250141,['target'],10,,,,
8.344661,['target'],10,,,,
3.2972326,['target'],10,,,,
2.153671,['target'],5,,,,
2.1150588,['target'],10,,,,
2.2077623,['target'],5,,,,
1.0966479,[None],10,,,,
3.1106167,['target'],10,,,,
2.2908042,['target'],5,,,,
2.9676291,['target'],5,,,,
3.6608162,['target'],10,,,,
3.9138182,['target'],10,,,,
3.0534513,['target'],5,,,,
2.4195947,['target'],5,,,,
3.13535,['target'],5,,,,
4.4283389,['target'],10,,,,
2.2192239,['target'],5,,,,
3.1436962,['target'],10,,,,
0.3256261,[None],5,,,,
3.876127,['target'],10,,,,
3.799458,['target'],10,,,,
2.8205174,['target'],5,,,,
2.3526759,['target'],5,,,,
3.9848809,['target'],5,,,,
4.6509084,['target'],5,,,,
3.2768343,['target'],10,,,,
2.2725262,['target'],5,,,,
1.8683148,['target'],5,,,,
4.4839459,['target'],5,,,,
2.6024584,['target'],5,,,,
2.3709617,['target'],5,,,,
1.9779062,['target'],10,,,,
1.7223712,['target'],5,,,,
2.069346,['target'],5,,,,
4.3625317,['target'],10,,,,
4.145636,['target'],10,,,,
2.8671579,['target'],5,,,,
2.5378031,['target'],5,,,,
2.0232084,['target'],5,,,,
4.0835276,['target'],10,,,,
2.1963229,['target'],10,,,,
0.3158876,[None],10,,,,
3.3429896,['target'],10,,,,
2.5733802,['target'],5,,,,
2.0362524,[None],10,,,,
3.8161397,['target'],10,,,,
6.8407171,['target'],10,,,,
2.586012,['target'],5,,,,
2.4399329,['target'],5,,,,
2.1691029,['target'],5,,,,
2.4813971,['target'],10,,,,
2.3029411,['target'],5,,,,
3.6216572,['target'],5,,,,
1.89549,['target'],10,,,,
1.5147838,['target'],10,,,,
2.7997284,[None],10,,,,
2.4298795,[None],10,,,,
4.2947609,['target'],10,,,,
5.4173682,['target'],5,,,,
3.3019165,['target'],5,,,,
3.8944386,['target'],10,,,,
2.4205803,['target'],5,,,,
2.8103057,['target'],10,,,,
1.8216576,['target'],5,,,,
2.0475096,['target'],10,,,,
5.5769218,['target'],10,,,,
4.2817142,['target'],10,,,,
2.7518219,['target'],5,,,,
2.8381783,['target'],5,,,,
4.6440425,['target'],10,,,,
4.5772087,['target'],10,,,,
6.3920175,['target'],10,,,,
2.3567159,['target'],5,,,,
2.9628424,['target'],10,,,,
2.7863959,['target'],5,,,,
0.6461493,[None],10,,,,
2.8965426,['target'],10,,,,
2.7034837,['target'],5,,,,
3.0274298,['target'],10,,,,
2.6543876,['target'],5,,,,
0.8551361,[None],5,,,,
2.5513635,['target'],10,,,,
2.8872607,['target'],5,,,,
2.3201479,['target'],5,,,,
4.3349911,['target'],5,,,,
2.6478012,['target'],10,,,,
4.2321195,['target'],10,,,,
5.0605372,[None],10,,,,
2.7119811,['target'],10,,,,
3.2877452,['target'],5,,,,
3.7168706,['target'],5,,,,
2.1673014,['target'],10,,,,
2.8461546,['target'],10,,,,
1.8562953,['target'],5,,,,
2.0294575,['target'],10,,,,
5.1279229,['target'],10,,,,
2.4549694,['target'],5,,,,
3.0605449,['target'],10,,,,
3.2191632,['target'],5,,,,
1.9674601,['target'],5,,,,
2.6003403,['target'],10,,,,
2.7039972,['target'],5,,,,
2.4191693,['target'],5,,,,
7.2146895,['target'],5,,,,
4.231246,['target'],10,,,,
2.3070198,['target'],5,,,,
2.1874841,['target'],5,,,,
5.9596936,['target'],10,,,,
2.0852872,['target'],5,,,,
1.6290531,['target'],10,,,,
2.2939576,['target'],10,,,,
3.2891598,['target'],5,,,,
2.7782877,['target'],10,,,,
1.5523767,['target'],5,,,,
3.0471061,['target'],10,,,,
1.9005608,['target'],10,,,,
