mouse.time,mouse.clicked_name,num_distr,,,,,
6.4806097,['target'],5,,,,,
3.6172448,['target'],5,,,,mean RTs ,2.5721
6.3255393,['target'],10,,,,mean RT set size 5,2.3566
1.7348531,['target'],10,,,,mean RT set size 10 ,2.7351
3.297163,['target'],10,,,,,
5.2593605,['target'],10,,,,slope ,0.0757
2.7394306,['target'],5,,,,,
1.4304794,['target'],10,,,,,
2.3836128,['target'],10,,,,,
3.4218951,['target'],5,,,,,
2.7442672,['target'],10,,,,,
1.9482129,['target'],10,,,,,
2.3694069,['target'],5,,,,,
1.9632468,['target'],10,,,,,
2.5157997,['target'],10,,,,,
2.095551,['target'],10,,,,,
4.4881916,['target'],5,,,,,
3.0180419,['target'],5,,,,,
2.3112031,['target'],10,,,,,
2.2694359,['target'],5,,,,,
3.4933152,['target'],10,,,,,
1.9675202,['target'],10,,,,,
2.8624489,[None],10,,,,,
3.6181372,['target'],5,,,,,
1.9046482,['target'],5,,,,,
2.4126002,['target'],10,,,,,
1.8330095,['target'],10,,,,,
3.0928885,['target'],10,,,,,
1.8248583,['target'],5,,,,,
9.8899035,['target'],10,,,,,
2.2886804,['target'],5,,,,,
3.0104102,['target'],10,,,,,
3.0064696,[None],5,,,,,
3.0006797,['target'],5,,,,,
2.5243529,['target'],5,,,,,
2.369586,['target'],5,,,,,
1.7286819,['target'],10,,,,,
2.4957167,['target'],10,,,,,
1.7113883,['target'],10,,,,,
2.0037919,['target'],5,,,,,
2.3864182,['target'],5,,,,,
2.8867488,['target'],5,,,,,
2.5766909,['target'],10,,,,,
2.0690138,['target'],5,,,,,
2.4704558,['target'],5,,,,,
1.2867557,['target'],5,,,,,
3.5610832,['target'],10,,,,,
2.5557714,['target'],5,,,,,
4.8443305,['target'],10,,,,,
2.7072594,['target'],5,,,,,
3.4850072,['target'],5,,,,,
8.2406709,['target'],10,,,,,
1.8303605,['target'],10,,,,,
2.5844686,['target'],5,,,,,
3.1072715,['target'],5,,,,,
3.3952486,['target'],10,,,,,
1.438738,['target'],5,,,,,
2.0645412,['target'],10,,,,,
1.6214768,['target'],5,,,,,
2.5469666,['target'],10,,,,,
2.5113107,[None],10,,,,,
3.1675603,['target'],10,,,,,
1.3333419,['target'],5,,,,,
4.0601833,[None],10,,,,,
2.7955725,['target'],10,,,,,
2.530669,['target'],10,,,,,
1.8469377,['target'],10,,,,,
1.7360969,['target'],5,,,,,
3.4156397,['target'],5,,,,,
1.7241026,['target'],5,,,,,
2.2298082,['target'],10,,,,,
2.2194836,['target'],5,,,,,
1.9071093,['target'],5,,,,,
2.6785303,['target'],10,,,,,
3.5106252,['target'],10,,,,,
2.6798522,['target'],10,,,,,
4.0114365,['target'],10,,,,,
1.704147,['target'],5,,,,,
2.8564055,['target'],5,,,,,
2.4842383,['target'],5,,,,,
3.5831152,['target'],10,,,,,
2.2879355,['target'],5,,,,,
2.3446158,['target'],10,,,,,
3.0834777,['target'],10,,,,,
2.0889202,['target'],5,,,,,
3.1842385,['target'],5,,,,,
1.7147757,['target'],10,,,,,
2.3665384,['target'],10,,,,,
1.505967,['target'],5,,,,,
2.0518979,['target'],5,,,,,
2.6139785,['target'],10,,,,,
2.6877579,['target'],5,,,,,
2.1810603,['target'],10,,,,,
2.1334251,['target'],10,,,,,
2.5633606,['target'],10,,,,,
3.6443204,['target'],10,,,,,
1.7985479,['target'],10,,,,,
3.0021054,['target'],5,,,,,
4.1924169,['target'],10,,,,,
1.90477,['target'],5,,,,,
2.509072,['target'],10,,,,,
2.2488185,['target'],10,,,,,
2.534027,['target'],5,,,,,
1.8820181,['target'],10,,,,,
1.7704811,['target'],5,,,,,
3.1716515,['target'],5,,,,,
2.2710198,['target'],5,,,,,
1.4094635,['target'],10,,,,,
1.7009259,['target'],5,,,,,
2.9056699,['target'],5,,,,,
3.284937,['target'],5,,,,,
2.5625485,['target'],10,,,,,
2.2298687,['target'],10,,,,,
2.586539,['target'],5,,,,,
2.1864396,[None],5,,,,,
1.8137468,['target'],10,,,,,
2.4207995,['target'],5,,,,,
2.0138468,['target'],10,,,,,
2.3163267,['target'],10,,,,,
2.5138246,['target'],10,,,,,
1.680094,['target'],10,,,,,
2.4823364,['target'],10,,,,,
