mouse.time,mouse.clicked_name,num_distr,,,,
6.0720732,['target'],10,,,,
1.449208,['target'],10,,,mean RTs,2.9921
3.0650696,['target'],10,,,mean RT set size 10,3.4557
5.6969756,['target'],10,,,mean RT set size 5,2.5846
2.4802853,['target'],10,,,,
4.6522927,['target'],5,,,slope ,0.1742
2.1389866,['target'],5,,,,
2.7286805,['target'],10,,,,
2.5951122,['target'],10,,,,
2.7580959,['target'],5,,,,
2.561648,['target'],10,,,,
1.8031046,['target'],5,,,,
2.5834851,['target'],5,,,,
2.0863871,['target'],5,,,,
0.6466777,[None],10,,,,
2.0226312,['target'],5,,,,
4.2390882,['target'],5,,,,
3.3179313,['target'],5,,,,
2.48091,[None],10,,,,
2.0798349,[None],10,,,,
2.3217802,['target'],5,,,,
3.4838736,['target'],5,,,,
2.4998714,['target'],5,,,,
2.2355456,['target'],5,,,,
2.2220919,['target'],5,,,,
3.8946986,['target'],10,,,,
3.0324082,['target'],10,,,,
2.5618681,['target'],10,,,,
2.7892955,['target'],5,,,,
4.5996444,['target'],5,,,,
1.8847486,['target'],10,,,,
7.6250297,['target'],10,,,,
1.3540658,[None],5,,,,
2.9994887,[None],10,,,,
2.6193563,['target'],5,,,,
0.6721528,[None],5,,,,
4.728635,['target'],10,,,,
4.6769119,['target'],10,,,,
2.2409778,['target'],5,,,,
2.4271448,['target'],10,,,,
1.9973073,['target'],10,,,,
6.1253222,['target'],10,,,,
2.4388422,['target'],5,,,,
1.623791,['target'],5,,,,
1.8037688,[None],5,,,,
1.3715959,['target'],5,,,,
2.8118907,['target'],10,,,,
2.7355433,['target'],5,,,,
1.890596,[None],5,,,,
2.6944836,['target'],10,,,,
1.4993389,[None],10,,,,
3.2981578,['target'],10,,,,
3.1613828,[None],10,,,,
2.1241526,['target'],5,,,,
3.3526911,['target'],5,,,,
2.7203002,['target'],5,,,,
3.3308972,['target'],10,,,,
2.5472576,['target'],10,,,,
3.4804065,['target'],10,,,,
6.6606547,['target'],10,,,,
2.3449686,['target'],10,,,,
1.3620903,['target'],10,,,,
2.3408638,['target'],5,,,,
2.1685297,['target'],5,,,,
3.2275992,['target'],10,,,,
2.1402389,['target'],5,,,,
1.345354,['target'],10,,,,
2.8748004,['target'],5,,,,
2.4046301,['target'],5,,,,
1.8200514,['target'],5,,,,
2.7701097,['target'],5,,,,
2.8192732,['target'],5,,,,
1.7380297,[None],5,,,,
3.4956403,['target'],10,,,,
2.7967196,['target'],10,,,,
2.3716162,['target'],5,,,,
2.4177085,['target'],5,,,,
3.5045765,['target'],5,,,,
4.0614811,['target'],10,,,,
2.5150801,['target'],10,,,,
3.5461721,['target'],10,,,,
5.9760454,['target'],10,,,,
4.2430389,['target'],10,,,,
3.7352348,['target'],5,,,,
2.016692,['target'],10,,,,
3.5325189,['target'],10,,,,
3.037926,['target'],5,,,,
2.3788168,['target'],10,,,,
2.9694756,['target'],5,,,,
3.4441555,['target'],10,,,,
4.4481145,['target'],10,,,,
2.5373464,['target'],5,,,,
1.7673743,['target'],5,,,,
3.4229044,['target'],5,,,,
1.8709252,['target'],5,,,,
1.1696057,[None],5,,,,
1.6732739,['target'],5,,,,
2.1479218,['target'],10,,,,
4.0297654,['target'],10,,,,
1.3292719,['target'],10,,,,
3.3461103,['target'],10,,,,
1.2628564,[None],10,,,,
4.9263385,['target'],10,,,,
2.2643322,['target'],10,,,,
2.4369243,['target'],5,,,,
2.3246559,['target'],5,,,,
2.0714378,['target'],5,,,,
2.0849211,['target'],5,,,,
3.0529194,['target'],5,,,,
3.6437729,['target'],10,,,,
3.7966584,['target'],10,,,,
1.0953469,['target'],10,,,,
2.5382988,['target'],5,,,,
1.4645251,['target'],10,,,,
2.247559,['target'],10,,,,
0.2969079,[None],10,,,,
4.41917,['target'],5,,,,
3.935489,['target'],5,,,,
2.0279306,['target'],10,,,,
1.8217699,['target'],5,,,,
2.6056905,['target'],5,,,,
1.8368976,[None],5,,,,
1.3543215,[None],5,,,,
2.35281,['target'],5,,,,
2.0531853,['target'],5,,,,
3.0111144,['target'],10,,,,
2.6869223,['target'],5,,,,
1.6080496,[None],5,,,,
0.2873418,[None],5,,,,
1.9024868,['target'],5,,,,
3.9750568,['target'],10,,,,
3.4829092,['target'],10,,,,
6.9229205,['target'],10,,,,
2.2509739,['target'],10,,,,
2.538657,['target'],5,,,,
2.1516111,['target'],5,,,,
7.8769142,['target'],10,,,,
15.0034825,['target'],10,,,,
2.2201385,[None],5,,,,
3.134237,['target'],5,,,,
2.3702934,['target'],5,,,,
3.8104234,['target'],10,,,,
3.2871939,['target'],5,,,,
2.9023439,['target'],5,,,,
2.785498,['target'],5,,,,
4.4611825,['target'],10,,,,
4.0773038,['target'],10,,,,
2.5218949,['target'],5,,,,
1.7891361,['target'],5,,,,
2.6265978,['target'],10,,,,
1.6861989,[None],5,,,,
3.9173622,['target'],5,,,,
4.2912927,['target'],10,,,,
3.1865675,['target'],5,,,,
1.8210305,[None],5,,,,
