pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,x,0,0,0,z,0,4.21829709992744,None,0,0,0,0,,,,,0.008450600085780025,,0.006155800074338913,0.008450600085780025,1.000406099949032,1.000406099949032,1.000406099949032,1.000406099949032,1.0169406000059098,1.9999802999664098,1.9999802999664098,6.235235899919644,z,0,4.21829709992744,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,1,1,0,x,0,1.098516199970618,None,0,1,1,1,,,,,6.246506399940699,,6.235518000088632,6.246506399940699,7.245680399937555,7.245680399937555,7.245680399937555,7.245680399937555,7.262302099959925,8.244616100098938,8.244616100098938,9.344612400047481,x,0,1.098516199970618,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,2,2,0,c,1,1.1385912001132965,None,0,2,2,2,,,,,9.360756699927151,,9.344974200008437,9.360756699927151,10.359374700114131,10.359374700114131,10.359374700114131,10.359374700114131,10.37580189993605,11.35846050013788,11.35846050013788,12.507930000079796,c,1,1.1385912001132965,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,3,3,0,v,0,0.8688153000548482,None,0,3,3,3,,,,,12.524354400113225,,12.508117000106722,12.524354400113225,13.523214200045913,13.523214200045913,13.523214200045913,13.523214200045913,13.523214200045913,14.522508499911055,14.522508499911055,15.406491900095716,v,0,0.8688153000548482,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,4,0,1,z,0,1.005648400168866,None,1,0,4,0,,,,,15.4217700001318,,15.407042300095782,15.4217700001318,16.42127600009553,16.42127600009553,16.42127600009553,16.42127600009553,16.42127600009553,17.420359099982306,17.420359099982306,18.437066900078207,z,0,1.005648400168866,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,5,1,1,x,0,0.986827899934724,None,1,1,5,1,,,,,18.452813599957153,,18.437495100079104,18.452813599957153,19.452114599989727,19.452114599989727,19.452114599989727,19.452114599989727,19.452114599989727,20.450987400021404,20.450987400021404,21.451066700043157,x,0,0.986827899934724,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,6,2,1,c,1,0.6237313998863101,None,1,2,6,2,,,,,21.466922800056636,,21.451586100040004,21.466922800056636,22.466315099969506,22.466315099969506,22.466315099969506,22.466315099969506,22.466315099969506,23.4649849999696,23.4649849999696,24.098437099950388,c,1,0.6237313998863101,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,7,3,1,v,0,0.5686226999387145,None,1,3,7,3,,,,,24.114954800112173,,24.09868589998223,24.114954800112173,25.097391800023615,25.097391800023615,25.097391800023615,25.097391800023615,25.11440180009231,26.1133131000679,26.1133131000679,26.697023899992928,v,0,0.5686226999387145,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,8,0,2,z,0,0.6388427000492811,None,2,0,8,0,,,,,26.712978800060228,,26.697448499966413,26.712978800060228,27.711646599927917,27.711646599927917,27.711646599927917,27.711646599927917,27.72837659996003,28.711050299927592,28.711050299927592,29.360971400048584,z,0,0.6388427000492811,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,9,1,2,x,0,0.4114943000022322,None,2,1,9,1,,,,,29.377141200006008,,29.36129459994845,29.377141200006008,30.37646790011786,30.37646790011786,30.37646790011786,30.37646790011786,30.37646790011786,31.37573239998892,31.37573239998892,31.792217900045216,x,0,0.4114943000022322,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
50,c,10,2,2,c,1,0.5321536001283675,None,2,2,10,2,,,,,31.808229899965227,,31.79246739996597,31.808229899965227,32.80724360002205,32.80724360002205,32.80724360002205,32.80724360002205,32.80724360002205,33.80687960004434,33.80687960004434,34.34041550010443,c,1,0.5321536001283675,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
150,z,11,3,2,v,0,0.6624203000683337,None,2,3,11,3,,,,,34.3561549000442,,34.340833599912,34.3561549000442,35.35563830006868,35.35563830006868,35.35563830006868,35.35563830006868,35.35563830006868,36.35488749993965,36.35488749993965,37.02110180002637,v,0,0.6624203000683337,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-150,x,12,0,3,z,0,0.9988388000056148,None,3,0,12,0,,,,,37.03740440006368,,37.02145320014097,37.03740440006368,38.036770100006834,38.036770100006834,38.036770100006834,38.036770100006834,38.036770100006834,39.03576539992355,39.03576539992355,40.03564750007354,z,0,0.9988388000056148,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
-50,v,13,1,3,x,0,0.4894959998782724,None,3,1,13,1,,,,,40.05171769997105,,40.0361041999422,40.05171769997105,41.05044370004907,41.05044370004907,41.05044370004907,41.05044370004907,41.05044370004907,42.050127000082284,42.050127000082284,42.54984540003352,x,0,0.4894959998782724,None,,,,,630562,001,2025-10-02_22h11.09.198,motor sequence,,2025.1.1,60.000672040583844,2025-10-02 22h11.12.257792 +0530,
