delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,400,unexp,0,0,0,space,1.5242376000387594,None,200,1,[2.8512242999859154],[2.8512321999296546],0,0,0,2,0.0202106999931857,,0.015878499951213598,0.0202106999931857,0.9988168999552727,0.9988168999552727,1.0153418000554666,2.5319928999524564,space,1.5242376000387594,None,2.5327242000494152,3.2319173666803787,3.5397044999990612,3.5278588000219315,3.528838000027463,3.5397044999990612,3.5397044999990612,3.5397044999990612,6.391206100001,200,1,[2.8512242999859154],[2.8512321999296546],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,1,1,0,space,0.7117877999553457,None,150,1,[2.470260599977337],[2.4702672999119386],0,1,1,6,6.398326399968937,,6.391485800035298,6.398326399968937,7.3821114000165835,7.3821114000165835,7.39041220000945,8.099429899943061,space,0.7117877999553457,None,8.100927400053479,8.198634766686398,8.506364200031385,8.496089900028892,8.496651800000109,8.506364200031385,8.506364200031385,8.506364200031385,10.976892399950884,150,1,[2.470260599977337],[2.4702672999119386],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,2,2,0,space,1.0220828000456095,None,200,1,[2.7692196000134572],[2.769228400080465],0,2,2,8,10.981785799958743,,10.97711320000235,10.981785799958743,11.973532999982126,11.973532999982126,11.973532999982126,12.998935600044206,space,1.0220828000456095,None,12.999771300004795,13.698475866640608,14.006500400020741,13.996084699989296,13.996614799951203,14.006500400020741,14.006500400020741,14.006500400020741,16.776052300003357,200,1,[2.7692196000134572],[2.769228400080465],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,3,3,0,space,0.3908481999533251,None,100,1,[3.0825802999315783],[3.0825889999978244],0,3,3,9,16.782425199984573,,16.776312400004826,16.782425199984573,17.773237699992023,17.773237699992023,17.773237699992023,18.165842800051905,space,0.3908481999533251,None,18.166790800052695,18.265189066707777,18.577473500045016,18.567009199992754,18.567621599999256,18.577473500045016,18.577473500045016,18.577473500045016,21.66034609999042,100,1,[3.0825802999315783],[3.0825889999978244],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,4,4,0,space,0.4380601999582723,None,100,1,[3.3819603000301868],[3.381969999987632],0,4,4,4,21.66473419999238,,21.660612000036053,21.66473419999238,22.6567284000339,22.6567284000339,22.6567284000339,23.098951400024816,space,0.4380601999582723,None,23.100267100031488,23.498529166627364,23.809376599965617,23.798112699994817,23.798635800019838,23.809376599965617,23.809376599965617,23.809376599965617,27.191760599962436,100,1,[3.3819603000301868],[3.381969999987632],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,5,5,0,space,0.34036009991541505,None,100,1,[2.177337200031616],[2.177345799980685],0,5,5,3,27.19797820004169,,27.1920364999678,27.19797820004169,28.18990009999834,28.18990009999834,28.18990009999834,28.53358439996373,space,0.34036009991541505,None,28.534906600019895,28.639551466625804,28.946557000046596,28.935978000052273,28.93654400005471,28.946557000046596,28.946557000046596,28.946557000046596,31.124184099957347,100,1,[2.177337200031616],[2.177345799980685],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,400,unexp,6,6,0,space,0.2548115000827238,None,450,1,[6.192984199966304],[6.192994299926795],0,6,6,1,31.131398000055924,,31.124588400009088,31.131398000055924,32.12306480004918,32.12306480004918,32.12306480004918,32.38261660002172,space,0.2548115000827238,None,32.38410579995252,32.79002476664415,33.09783320000861,33.08587609999813,33.08655719994567,33.09783320000861,33.09783320000861,33.09783320000861,39.29123279999476,450,1,[6.192984199966304],[6.192994299926795],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,7,7,0,space,0.3076116000302136,None,500,1,[1.873881999985315],[1.8738896999275312],0,7,7,11,39.29779340000823,,39.29156949999742,39.29779340000823,40.289604900055565,40.289604900055565,40.289604900055565,40.59884120000061,space,0.3076116000302136,None,40.60034020000603,41.29801726661778,41.60829070000909,41.59825669997372,41.598680400056764,41.60829070000909,41.60829070000909,41.60829070000909,43.48244309995789,500,1,[1.873881999985315],[1.8738896999275312],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,8,8,0,space,1.2911550999851897,None,500,1,[1.6545520999934524],[1.6545608999440446],0,8,8,5,43.48987659998238,,43.48275389999617,43.48987659998238,44.48092560004443,44.48092560004443,44.48092560004443,45.773842499940656,space,1.2911550999851897,None,45.77499299996998,46.480969766682634,46.78588109998964,46.77422599995043,46.77471589995548,46.78588109998964,46.78588109998964,46.78588109998964,48.44073449994903,500,1,[1.6545520999934524],[1.6545608999440446],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,400,unexp,9,9,0,space,0.28389550000429153,None,300,1,[3.597801399999298],[3.597813899978064],0,9,9,0,48.44757049996406,,48.44102340005338,48.44757049996406,49.43939329998102,49.43939329998102,49.43939329998102,49.73174299998209,space,0.28389550000429153,None,49.73249720002059,49.830886866610186,50.134542700019665,50.12447090004571,50.124825099948794,50.134542700019665,50.134542700019665,50.134542700019665,53.732797499978915,300,1,[3.597801399999298],[3.597813899978064],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,10,10,0,space,0.89566979999654,None,250,1,[5.299564799992368],[5.299571999930777],0,10,10,7,53.739403299987316,,53.73322139994707,53.739403299987316,54.73091060004663,54.73091060004663,54.73091060004663,55.63147499994375,space,0.89566979999654,None,55.63226340000983,56.03092166671219,56.340781899983995,56.328133399947546,56.32871829997748,56.340781899983995,56.340781899983995,56.340781899983995,61.640615400043316,250,1,[5.299564799992368],[5.299571999930777],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,11,11,0,space,0.6608360999962315,None,450,1,[2.711758599965833],[2.7117651000153273],0,11,11,10,61.647392499959096,,61.64085670001805,61.647392499959096,62.63926770002581,62.63926770002581,62.63926770002581,63.30759310000576,space,0.6608360999962315,None,63.308980599977076,63.714344766635136,64.02765489998274,64.0168485000031,64.01731929997914,64.02765489998274,64.02765489998274,64.02765489998274,66.73966930003371,450,1,[2.711758599965833],[2.7117651000153273],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,12,0,1,space,1.5115816000616178,None,200,1,[2.456496400060132],[2.4565061000175774],1,0,12,3,66.7484285000246,,66.73991270002443,66.7484285000246,67.73097190004773,67.73097190004773,67.73917720001191,69.24825950001832,space,1.5115816000616178,None,69.2494475999847,69.34742066666173,69.6581920000026,69.64610500005074,69.64678329997696,69.6581920000026,69.6581920000026,69.6581920000026,72.1150009999983,200,1,[2.456496400060132],[2.4565061000175774],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,13,1,1,space,0.3081964000593871,None,300,1,[4.863610000000335],[4.863617100054398],1,1,13,11,72.12223650002852,,72.11523210001178,72.12223650002852,73.11513359996025,73.11513359996025,73.11513359996025,73.43244530004449,space,0.3081964000593871,None,73.43330559995957,74.13944626663967,74.44378169998527,74.43393619998824,74.43444310000632,74.44378169998527,74.44378169998527,74.44378169998527,79.3076472999528,300,1,[4.863610000000335],[4.863617100054398],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,14,2,1,space,0.4643002999946475,None,100,1,[2.63049910007976],[2.6305071000242606],1,2,14,6,79.31357999995816,,79.30787430005148,79.31357999995816,80.30571760004386,80.30571760004386,80.30571760004386,80.77262029994745,space,0.4643002999946475,None,80.7735656000441,80.87247906666404,81.17765229998622,81.16651530005038,81.1669940999709,81.17765229998622,81.17765229998622,81.17765229998622,83.80845440004487,100,1,[2.63049910007976],[2.6305071000242606],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,1000,exp,15,3,1,space,1.1505944000091404,None,200,1,[3.073807100066915],[3.0738154000137],1,3,15,9,83.81344319996424,,83.80873980000615,83.81344319996424,84.80542989994865,84.80542989994865,84.80542989994865,85.96421769994777,space,1.1505944000091404,None,85.96495030005462,86.06356626662115,86.37336750002578,86.3635448999703,86.36398400005419,86.37336750002578,86.37336750002578,86.37336750002578,89.44748390000314,200,1,[3.073807100066915],[3.0738154000137],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,400,unexp,16,4,1,space,1.3807486000005156,None,300 ,1,[3.8422406999161467],[3.8422513999976218],1,4,16,2,89.4550709000323,,89.44775060005486,89.4550709000323,90.43889700004365,90.43889700004365,90.44717900000978,91.82235939998645,space,1.3807486000005156,None,91.82309720001649,92.52183016663572,92.83121119998395,92.82035299995914,92.82125919999089,92.83121119998395,92.83121119998395,92.83121119998395,96.6738244999433,300 ,1,[3.8422406999161467],[3.8422513999976218],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,17,5,1,space,2.9986585000297055,None,400,1,[4.06208439997863],[4.06210340000689],1,5,17,8,96.67978070001118,,96.67429340002127,96.67978070001118,97.67219750001095,97.67219750001095,97.67219750001095,100.680487500038,space,2.9986585000297055,None,100.68207390001044,101.37976456660932,101.73414870002307,101.67548740003258,101.6762096999446,101.73414870002307,101.73414870002307,101.73414870002307,105.79679429996759,400,1,[4.06208439997863],[4.06210340000689],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,18,6,1,space,0.6637165999272838,None,450,1,[2.8719068999635056],[2.871912300004624],1,6,18,4,105.80028590001166,,105.79729889996815,105.80028590001166,106.78853809996508,106.78853809996508,106.79753870004788,107.45555850001983,space,0.6637165999272838,None,107.45639049995225,107.85488236666812,108.1662758999737,108.15266000002157,108.15311920002569,108.1662758999737,108.1662758999737,108.1662758999737,111.03844509995542,450,1,[2.8719068999635056],[2.871912300004624],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.1,400,unexp,19,7,1,space,1.361477900063619,None,140,1,[2.782901900005527],[2.782907500048168],1,7,19,0,111.04696960002184,,111.03871500003152,111.04696960002184,112.03014529997017,112.03014529997017,112.03841739997733,113.39729330001865,space,1.361477900063619,None,113.39838969998527,113.4964776667223,113.80533670005389,113.79439609998371,113.79497040004935,113.80533670005389,113.80533670005389,113.80533670005389,116.58845839998685,140,1,[2.782901900005527],[2.782907500048168],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,20,8,1,space,5.432992299902253,None,560,1,[2.4694622999522835],[2.46946689998731],1,8,20,10,116.59638829994947,,116.5886448000092,116.59638829994947,117.57991690002382,117.57991690002382,117.58813659998123,123.0144935999997,space,5.432992299902253,None,123.0155126999598,123.42127496662239,123.71976300003007,123.71391169994604,123.71420239994768,123.71976300003007,123.71976300003007,123.71976300003007,126.18946509994566,560,1,[2.4694622999522835],[2.46946689998731],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.7,1000,exp,21,9,1,space,0.49485849996563047,None,999,1,[1.9934983000857756],[1.9935019999975339],1,9,21,5,126.19579649996012,,126.1896301000379,126.19579649996012,127.18779430002905,127.18779430002905,127.18779430002905,127.6884564999491,space,0.49485849996563047,None,127.6889459999511,128.38790746668045,128.69465489999857,128.68532689998392,128.68563239998184,128.69465489999857,128.69465489999857,128.69465489999857,130.6883087999886,999,1,[1.9934983000857756],[1.9935019999975339],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,400,unexp,22,10,1,space,1.530185000039637,None,800,1,[2.3505469999508932],[2.3505501999752596],1,10,22,1,130.69610179995652,,130.68845490005333,130.69610179995652,131.67909420002252,131.67909420002252,131.6874073999934,133.21281699999236,space,1.530185000039637,None,133.21321850002278,133.6124701667034,133.92054960003588,133.90924850001466,133.90965409995988,133.92054960003588,133.92054960003588,133.92054960003588,136.27124080003705,800,1,[2.3505469999508932],[2.3505501999752596],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
0.4,1000,exp,23,11,1,space,1.70850629999768,None,650,1,[1.7435837000375614],[1.743587699951604],1,11,23,7,136.27899539994542,,136.27139310003258,136.27899539994542,137.26225000002887,137.26225000002887,137.2707285999786,138.9712617000332,space,1.70850629999768,None,138.97168539999984,139.37054686661966,139.670093899942,139.66404659999534,139.66438029997516,139.670093899942,139.670093899942,139.670093899942,141.41381960001308,650,1,[1.7435837000375614],[1.743587699951604],730764,001,2025-11-10_11h43.08.811,intentional binding,,2025.1.1,119.56073391497043,2025-11-10 11h43.14.233429 +0530,
