thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,0,3.5613832999952137,None,-5,0,0,0,0,0.005632000043988228,,0.002186700003221631,0.005632000043988228,1.0010654998477548,1.016924399882555,4.583078199997544,up,0,3.5613832999952137,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
1,0,1,down,1,2.597710399888456,None,4,1,0,1,0,4.587565999943763,,4.5833403000142425,4.587565999943763,5.596716099884361,5.596716099884361,8.211490999907255,down,1,2.597710399888456,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
2,0,2,down,1,0.9835463999770582,None,3,2,0,2,0,8.229754699859768,,8.21169720008038,8.229754699859768,9.212636600015685,9.226952699944377,10.209605499869213,down,1,0.9835463999770582,None,3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
3,0,3,up,1,3.2931017000228167,None,0,3,0,3,0,10.22764419997111,,10.209756599972025,10.22764419997111,11.211736399913207,11.225186199881136,14.506507700076327,up,1,3.2931017000228167,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
4,0,4,up,1,1.2483415000606328,None,0,4,0,4,0,14.525095500051975,,14.506804599892348,14.525095500051975,15.507235100027174,15.538571799872443,16.770988199859858,up,1,1.2483415000606328,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
5,0,5,down,1,3.3405668998602778,None,-5,5,0,5,0,16.78986099991016,,16.77117670001462,16.78986099991016,17.77173150004819,17.80366600002162,21.117778999963775,down,1,3.3405668998602778,None,-5,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
6,0,6,up,1,1.2426794997882098,None,0,6,0,6,0,21.135674400022253,,21.11805110005662,21.135674400022253,22.118355399928987,22.13309899996966,23.36621919996105,up,1,1.2426794997882098,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
7,0,7,up,0,1.0626481000799686,None,-2,7,0,7,0,23.383943299995735,,23.36663719988428,23.383943299995735,24.366530200000852,24.381527099991217,25.431013999972492,up,0,1.0626481000799686,None,-2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
8,0,8,up,0,0.8023409000597894,None,1,8,0,8,0,25.448824000079185,,25.43142639985308,25.448824000079185,26.43171130004339,26.446182599989697,27.245676999911666,up,0,0.8023409000597894,None,1,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
9,0,9,up,1,1.7311466000974178,None,0,9,0,9,0,27.263811700046062,,27.245834300061688,27.263811700046062,28.24658300005831,28.261616799980402,29.994034299859777,up,1,1.7311466000974178,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
10,0,10,down,1,1.2358321000356227,None,3,10,0,10,0,30.011553899850696,,29.994391799904406,30.011553899850696,30.994407600024715,31.009274600073695,32.24221169995144,down,1,1.2358321000356227,None,3,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
11,0,11,down,1,0.6036129998974502,None,4,11,0,11,0,32.260205999948084,,32.24262399994768,32.260205999948084,33.2423369998578,33.27436530007981,33.85750290006399,down,1,0.6036129998974502,None,4,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
12,0,12,down,1,1.650762700010091,None,2,12,0,12,0,33.875324100023136,,33.857718700077385,33.875324100023136,34.85788969998248,34.873086699983105,36.52203359990381,down,1,1.650762700010091,None,2,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
13,0,13,up,1,2.2460394999943674,None,0,13,0,13,0,36.54001650004648,,36.52240919996984,36.54001650004648,37.52252830006182,37.53738770005293,39.76974379993044,up,1,2.2460394999943674,None,0,796345,001,2025-09-09_15h11.54.323,signal detection,,2025.1.1,60.07965360977716,2025-09-09 15h11.59.680743 +0530,
