word,font_colour,con_label,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you.started,text_3.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
RED,red,congruent,r,0,0,0,r,1,2.5497915,None,0,0,0,0,1.0223725,,,,,1.0195794,1.0223725,1.5004147,1.5004147,1.5004147,4.0802075,r,1,2.5497915,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,2,2,0,b,1,1.1221063,None,0,2,2,1,6.3967366,,,,,6.3916518,6.3967366,6.8960761,6.8960761,6.8960761,8.0291687,b,1,1.1221063,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,5,1,1,b,1,0.6771086,None,1,1,5,1,10.7599175,,,,,10.7437988,10.7599175,11.2591163,11.2591163,11.2591163,11.9423284,b,1,0.6771086,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
RED,red,congruent,r,7,3,1,r,1,1.190327,None,1,3,7,0,13.5408738,,,,,13.525278,13.5408738,14.04013,14.04013,14.04013,15.2394162,r,1,1.190327,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
RED,red,congruent,r,8,0,2,r,1,0.4179437,None,2,0,8,0,15.2562626,,,,,15.2398125,15.2562626,15.7387905,15.7387905,15.7387905,16.1733986,r,1,0.4179437,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,11,3,2,b,1,0.5444185,None,2,3,11,1,18.7363226,,,,,18.7215492,18.7363226,19.2196738,19.2196738,19.2196738,19.7692932,b,1,0.5444185,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,12,0,3,b,1,0.4575051,None,3,0,12,1,19.7855451,,,,,19.7696867,19.7855451,20.2682144,20.2682144,20.2682144,20.7351013,b,1,0.4575051,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
RED,red,congruent,r,14,2,3,r,1,0.5583449,None,3,2,14,0,22.1336303,,,,,22.1212611,22.1336303,22.6336878,22.6336878,22.6336878,23.2001074,r,1,0.5583449,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
RED,red,congruent,r,17,1,4,r,1,0.4802628,None,4,1,17,0,25.497936,,,,,25.482043,25.497936,25.997361,25.997361,25.997361,26.4810723,r,1,0.4802628,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,19,3,4,b,1,0.6212661,None,4,3,19,1,27.9952369,,,,,27.9797904,27.9952369,28.4947774,28.4947774,28.4947774,29.1283591,b,1,0.6212661,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
RED,red,congruent,r,21,1,5,r,1,0.8836905,None,5,1,21,0,30.4268854,,,,,30.4132197,30.4268854,30.9097889,30.9097889,30.9097889,31.8097838,r,1,0.8836905,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
BLUE,blue,congruent,b,23,3,5,b,1,0.5753714,None,5,3,23,1,35.7228005,,,,,35.7088444,35.7228005,36.222769,36.222769,36.222769,36.8055038,b,1,0.5753714,None,,,,847996,1,2025-08-25_15h32.28.818,stroop task,,2025.1.1,60.02325301,2025-08-25 15h32.34.422142 +0530
