stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.0361942,,0.0193277,0.0361942,0.5147501,0.5147501,0.5517194,0.8183025,3.2260881,left,-10,0,0,2.6863892,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
1,1,12,3.2326933,,3.226263,3.2326933,3.7325432,3.7325432,3.7325432,4.0323023,82.8850608,right,12,1,1,79.1495692,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
2,1,11,82.9017596,,82.8852653,82.9017596,83.3840003,83.3840003,83.4171388,83.6840877,84.8005093,left,-11,1,1,1.4137048,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
3,1,11,84.8163669,,84.8006964,84.8163669,85.3157525,85.3157525,85.3157525,85.614941,86.1984367,left,-11,1,1,0.8770436,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
4,1,11,86.214941,,86.1985554,86.214941,86.6978923,86.6978923,86.7147119,86.9975367,87.4809936,right,11,1,1,0.7756574,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
5,1,10,87.497696,,87.4811057,87.497696,87.9968837,87.9968837,88.0146197,88.2967513,89.8949136,left,-10,1,1,1.8892965,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
6,1,10,89.9112607,,89.8950256,89.9112607,90.3951411,90.3951411,90.4115735,90.6945468,130.6963718,right,10,0,0,40.2981544,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
7,1,11,130.7120047,,130.696628,130.7120047,131.1969594,131.1969594,131.2125843,131.5115803,131.911191,right,11,1,1,0.7116934,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
8,1,11,131.9272302,,131.9113247,131.9272302,132.4265103,132.4265103,132.4265103,132.7266315,132.923329,right,11,1,1,0.4737965,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
9,0.5,11,132.9423496,,132.9234449,132.9423496,133.4267603,133.4267603,133.4425085,133.7257113,133.975566,right,11,1,1,0.5429011,941475,1,2025-09-04_09h34.13.544,adaptive staircase,,2025.1.1,59.84085925,2025-09-04 09h34.14.875378 +0530
