word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.013424200005829334,,0.010482100013177842,0.013424200005829334,1.0038309000083245,,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
chair,1,1,0,0,1,1,1,1.012835500005167,,1.0085337000200525,1.012835500005167,2.003437799983658,,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
music,2,2,0,0,2,2,2,2.0116706999833696,,2.0063336999737658,2.0116706999833696,2.996126700018067,3.0040185999823734,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
dream,3,3,0,0,3,3,3,3.0040185999823734,,3.0001968999858946,3.0040185999823734,3.987824800016824,3.9958017999888398,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
paper,4,4,0,0,4,4,4,3.9958017999888398,,3.9920133000123315,3.9958017999888398,4.978977399994619,4.986891300010029,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
tiger,5,5,0,0,5,5,5,4.986891300010029,,4.983807599986903,4.995184400002472,5.9790809999685735,5.986896099988371,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
window,6,6,0,0,6,6,6,5.986896099988371,,5.982710400014184,5.995231900014915,6.979569300019648,6.9869095999747515,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
flower,7,7,0,0,7,7,7,6.9869095999747515,,6.984168599999975,6.995521500008181,7.979264399968088,7.987027499999385,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
book,8,8,0,0,8,8,8,7.987027499999385,,7.98270059999777,7.99537879996933,8.979343199986033,8.986772099975497,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
lamp,9,9,0,0,9,9,9,8.986772099975497,,8.983738699986134,8.995275399996899,9.979528500000015,9.987399499979801,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
ocean,10,10,0,0,10,10,10,9.987399499979801,,9.984728500014171,9.995283099997323,10.979779199988116,10.986658399982844,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
phone,11,11,0,0,11,11,11,10.986658399982844,,10.983847800001968,10.995293600019068,11.979223900008947,11.987695599964354,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
candle,12,12,0,0,12,12,12,11.987695599964354,,11.984916499990504,11.995085200003814,12.979263200017158,12.986746900016442,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
spoon,13,13,0,0,13,13,13,12.986746900016442,,12.98334719997365,12.99511740001617,13.979096199967898,13.986757899983786,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
shoe,14,14,0,0,14,14,14,13.986757899983786,,13.98260340001434,13.995173799979966,14.979581899999175,14.987135000003036,,,,,,,,,,,,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
,,,,,,,,,,,,,,14.980342699971516,14.999501199985389,14.999501199985389,14.999501199985389,30.71183430001838,"spoon shoe candle tiger 
",return,15.70423450000817,None,"spoon shoe candle tiger 
",,,,,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,30.71189009997761,30.72006209997926,32.71175509999739,32.704084699973464,704249,001,2025-11-24_01h02.44.653,Serial Position Effect_SoloProject,,2025.1.1,119.86024295300895,2025-11-24 01h02.47.361165 +0530,
