word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.025818800029810518,,0.01819390000309795,0.025818800029810518,1.0019341000006534,,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
chair,1,1,0,0,1,1,1,1.009928800049238,,1.0062608000007458,1.009928800049238,1.9934976000222377,2.002079700003378,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
music,2,2,0,0,2,2,2,2.002079700003378,,1.9979292000061832,2.002079700003378,2.9849113000091165,2.9929288999992423,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
dream,3,3,0,0,3,3,3,2.9929288999992423,,2.9886374000343494,2.9929288999992423,3.976799399999436,3.984723700035829,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
paper,4,4,0,0,4,4,4,3.984723700035829,,3.980634000035934,3.9934275000123307,4.977364500053227,4.986264800012577,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
tiger,5,5,0,0,5,5,5,4.986264800012577,,4.983534800005145,4.993112700001802,5.977503000001889,5.984856000053696,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
window,6,6,0,0,6,6,6,5.984856000053696,,5.982238000025973,5.993151400005445,6.976694500015583,6.984553300018888,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
flower,7,7,0,0,7,7,7,6.984553300018888,,6.9804226999985985,6.993117700039875,7.977283000014722,7.984324100019876,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
book,8,8,0,0,8,8,8,7.984324100019876,,7.981573500030208,7.993020400055684,8.977181900001597,8.985137700045016,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
lamp,9,9,0,0,9,9,9,8.985137700045016,,8.982439500046894,8.992972500040196,9.977006600005552,9.985584100009874,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
ocean,10,10,0,0,10,10,10,9.985584100009874,,9.983045500004664,9.99312950001331,10.977030700014438,10.984189100039657,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
phone,11,11,0,0,11,11,11,10.984189100039657,,10.981156800000463,10.993035300052725,11.976992600015365,11.984363300027326,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
candle,12,12,0,0,12,12,12,11.984363300027326,,11.981962400022894,11.992995200038422,12.976896800042596,12.984314000001177,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
spoon,13,13,0,0,13,13,13,12.984314000001177,,12.980831200024113,12.992886700027157,13.97676670004148,13.984412000048906,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
shoe,14,14,0,0,14,14,14,13.984412000048906,,13.980656200030353,13.992905600054655,14.976977000012994,14.984168499999214,,,,,,,,,,,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
,,,,,,,,,,,,,,14.97759100003168,14.997643000038806,14.997643000038806,14.997643000038806,24.63497560005635,apple chair music dream tiger,return,9.635905400034972,None,apple chair music dream tiger,,,,,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,24.63506739999866,24.642529300006572,26.63406720000785,26.626696899998933,859180,001,2025-11-24_01h01.07.627,Serial Position Effect_SoloProject,,2025.1.1,120.5448143375191,2025-11-24 01h01.10.533250 +0530,
