word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.020506299973931164,,0.017111399967689067,0.020506299973931164,1.0051263999775983,,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
chair,1,1,0,0,1,1,1,1.0149221000028774,,1.010821699979715,1.0149221000028774,2.005140599969309,,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
music,2,2,0,0,2,2,2,2.0169003999908455,,2.0124533000052907,2.0169003999908455,3.005330099957064,,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
dream,3,3,0,0,3,3,3,3.0139096999773756,,3.01043819996994,3.0139096999773756,3.996913999959361,4.0048370999866165,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
paper,4,4,0,0,4,4,4,4.0048370999866165,,4.001544400001876,4.0048370999866165,4.989508199971169,4.998892100004014,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
tiger,5,5,0,0,5,5,5,4.998892100004014,,4.994495399994776,4.998892100004014,5.989560999965761,5.998616700002458,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
window,6,6,0,0,6,6,6,5.998616700002458,,5.994109599967487,5.998616700002458,6.989327699993737,6.996248999959789,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
flower,7,7,0,0,7,7,7,6.996248999959789,,6.99334489996545,6.996248999959789,7.9810739000095055,7.988503900007345,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
book,8,8,0,0,8,8,8,7.988503900007345,,7.98533579998184,7.996981000003871,8.980351699981838,8.988516599987634,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
lamp,9,9,0,0,9,9,9,8.988516599987634,,8.983423099969514,8.996844100009184,9.98096469999291,9.988335100002587,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
ocean,10,10,0,0,10,10,10,9.988335100002587,,9.983694199996535,9.996416999958456,10.981088900007308,10.98825339996256,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
phone,11,11,0,0,11,11,11,10.98825339996256,,10.9849992999807,10.997216199990362,11.98068689997308,11.987765399971977,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
candle,12,12,0,0,12,12,12,11.987765399971977,,11.984232399961911,11.99633910000557,12.97961659997236,12.988054599962197,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
spoon,13,13,0,0,13,13,13,12.988054599962197,,12.982852899993304,12.996236799983308,13.979884399974253,13.987949599977583,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
shoe,14,14,0,0,14,14,14,13.987949599977583,,13.983408799977042,13.996481699985452,14.979661799967289,14.98766769998474,,,,,,,,,,,,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
,,,,,,,,,,,,,,14.980047599994577,14.997673399979249,14.997673399979249,14.997673399979249,22.964808099961374,"spoon shoe candle
",return,7.960356199997477,None,"spoon shoe candle
",,,,,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,22.964889399998356,22.971168799966108,24.96279159997357,24.955292199971154,147696,001,2025-11-24_01h04.33.497,Serial Position Effect_SoloProject,,2025.1.1,119.92046869799248,2025-11-24 01h04.36.916803 +0530,
