word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.01608010003110394,,0.012806400016415864,0.01608010003110394,1.0039926000172272,,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
chair,1,1,0,0,1,1,1,1.0121749000390992,,1.0084696999983862,1.0121749000390992,2.0031097999890335,,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
music,2,2,0,0,2,2,2,2.0153788999887183,,2.01123300002655,2.0153788999887183,3.0029227000195533,,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
dream,3,3,0,0,3,3,3,3.0113080000155605,,3.0064506999915466,3.0113080000155605,3.9952339000301436,4.003006300015841,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
paper,4,4,0,0,4,4,4,4.003006300015841,,3.998862400010694,4.003006300015841,4.987253700033762,4.995119700033683,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
tiger,5,5,0,0,5,5,5,4.995119700033683,,4.99151190003613,4.995119700033683,5.978606900025625,5.986041399999522,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
window,6,6,0,0,6,6,6,5.986041399999522,,5.9822572999983095,5.9945849000359885,6.977972200023942,6.986494000011589,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
flower,7,7,0,0,7,7,7,6.986494000011589,,6.981557100021746,6.994639200042002,7.978435199998785,7.986017499992158,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
book,8,8,0,0,8,8,8,7.986017499992158,,7.982171300041955,7.994371600041632,8.978513800015207,8.986049800005276,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
lamp,9,9,0,0,9,9,9,8.986049800005276,,8.981667699990794,8.994649400003254,9.97875509998994,9.985655200027395,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
ocean,10,10,0,0,10,10,10,9.985655200027395,,9.983091600006446,9.994558400008827,10.97884699999122,10.986391499987803,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
phone,11,11,0,0,11,11,11,10.986391499987803,,10.98356760002207,10.99438889999874,11.978943300026003,11.987094400043134,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
candle,12,12,0,0,12,12,12,11.987094400043134,,11.9846256999881,11.994531200034544,12.978198600001633,12.985669900022913,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
spoon,13,13,0,0,13,13,13,12.985669900022913,,12.982110300043132,12.994309700035956,13.978190599998925,13.985967500018887,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
shoe,14,14,0,0,14,14,14,13.985967500018887,,13.983104300044943,13.994284000014886,14.977954300004058,14.986006700026337,,,,,,,,,,,,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
,,,,,,,,,,,,,,14.978533299989067,14.998425300000235,14.998425300000235,14.998425300000235,28.663125400024,"candle spoon shoe tiger book apple chair
",return,13.658490199944936,None,"candle spoon shoe tiger book apple chair
",,,,,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,28.663199800008442,28.668909100000747,30.66082729998743,30.653139900008682,339556,001,2025-11-24_01h01.50.565,Serial Position Effect_SoloProject,,2025.1.1,120.35982776271011,2025-11-24 01h01.53.913051 +0530,
