stair.thisTrialN,tilt,key_resp.corr,,,,
0,-10,0,,,,
1,12,1,,,,
2,-11,1,,,,
3,-11,1,,,,
4,11,1,,,threshold,1.9
5,-10,1,,,,
6,10,0,,,,
7,11,1,,,,
8,11,1,,,,
9,11,1,,,,
10,10.5,1,,,,
11,-10.5,1,,,,
12,10.5,1,,,,
13,-10,1,,,,
14,10,1,,,,
15,-10,1,,,,
16,9.5,1,,,,
17,-9.5,1,,,,
18,-9.5,1,,,,
19,9,1,,,,
20,9,1,,,,
21,-9,1,,,,
22,8.5,1,,,,
23,-8.5,1,,,,
24,-8.5,1,,,,
25,-8,1,,,,
26,8,1,,,,
27,-8,1,,,,
28,-7.5,1,,,,
29,-7.5,1,,,,
30,-7.5,1,,,,
31,-7,1,,,,
32,-7,1,,,,
33,7,1,,,,
34,6.5,1,,,,
35,6.5,1,,,,
36,-6.5,1,,,,
37,-6,1,,,,
38,-6,1,,,,
39,-6,1,,,,
40,5.5,1,,,,
41,5.5,1,,,,
42,5.5,1,,,,
43,5,1,,,,
44,-5,1,,,,
45,5,1,,,,
46,4.5,1,,,,
47,4.5,1,,,,
48,-4.5,0,,,,
49,-5,1,,,,
50,-5,1,,,,
51,5,1,,,,
52,-4.5,1,,,,
53,-4.5,1,,,,
54,4.5,1,,,,
55,-4,1,,,,
56,4,1,,,,
57,-4,1,,,,
58,-3.5,1,,,,
59,-3.5,1,,,,
60,-3.5,1,,,,
61,-3,1,,,,
62,-3,1,,,,
63,-3,1,,,,
64,-2.5,1,,,,
65,-2.5,1,,,,
66,2.5,1,,,,
67,2,1,,,,
68,2,1,,,,
69,-2,1,,,,
70,-1.5,1,,,,
71,1.5,1,,,,
72,-1.5,0,,,,
73,2,1,,,,
74,-2,1,,,,
75,-2,1,,,,
76,-1.5,1,,,,
77,1.5,1,,,,
78,1.5,1,,,,
79,1,1,,,,
80,-1,0,,,,
81,1.5,1,,,,
82,1.5,1,,,,
83,-1.5,1,,,,
84,1,1,,,,
85,1,1,,,,
86,-1,1,,,,
87,1,1,,,,
88,1,1,,,,
89,1,1,,,,
90,-1,1,,,,
91,-1,1,,,,
92,1,0,,,,
93,1.5,0,,,,
94,-2,1,,,,
95,-2,1,,,,
96,2,1,,,,
97,1.5,1,,,,
98,1.5,1,,,,
99,1.5,0,,,,
