study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,t_g_r,tiger,"[np.float64(-0.44351851851851853), np.float64(-0.09166666666666666)]","[np.float64(-0.2916666666666667), np.float64(-0.3)]","[1, 1]","[0, 0]","[0, 0]","[0.27742409997154027, 5.638461699942127]","[None, 'text_3']",,,,,0,0,0,1,2.1872782,,,,,,,,2.1778219,2.1872782,2.1872782,2.1872782,0.0065649,7.8164832,tiger,"[np.float64(-0.44351851851851853), np.float64(-0.09166666666666666)]","[np.float64(-0.2916666666666667), np.float64(-0.3)]","[1, 1]","[0, 0]","[0, 0]","[0.27742409997154027, 5.638461699942127]","[None, 'text_3']",397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,1,1,0,,,_oo_,door,[np.float64(-0.06111111111111111)],[np.float64(-0.29814814814814816)],[1],[0],[0],[5.759749599965289],['text_3'],,,,,0,1,1,2,7.8324746,,,,,,,,7.8188092,7.8324746,7.8324746,7.8324746,0.0021872,13.5787869,door,[np.float64(-0.06111111111111111)],[np.float64(-0.29814814814814816)],[1],[0],[0],[5.759749599965289],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,2,2,0,,,o_a_n_e,,[np.float64(-0.06111111111111111)],[np.float64(-0.29814814814814816)],[1],[0],[0],[0.963991199969314],['text_3'],,,,,0,2,2,9,13.5947133,,,,,,,,13.5805429,13.5947133,13.5947133,13.5947133,0.0016592,14.5446908,,[np.float64(-0.06111111111111111)],[np.float64(-0.29814814814814816)],[1],[0],[0],[0.963991199969314],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,3,3,0,,,c_s_h_o_n,cushion,[np.float64(-0.09259259259259259)],[np.float64(-0.30185185185185187)],[1],[0],[0],[3.1780520000029355],['text_3'],,,,,0,3,3,3,14.5603888,,,,,,,,14.546905,14.5603888,14.5603888,14.5603888,0.0021521,17.7251336,cushion,[np.float64(-0.09259259259259259)],[np.float64(-0.30185185185185187)],[1],[0],[0],[3.1780520000029355],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,4,4,0,,,_ia_n_,,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[4.727642099955119],['text_3'],,,,,0,4,4,4,17.7409782,,,,,,,,17.7269431,17.7409782,17.7409782,17.7409782,0.0017425,22.4547518,,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[4.727642099955119],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,5,5,0,,,_o_s_,,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.0473873000591993],['text_3'],,,,,0,5,5,8,22.4707897,,,,,,,,22.4562894,22.4707897,22.4707897,22.4707897,0.0014627,23.5039066,,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[1.0473873000591993],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,6,6,0,,,_a_e,vase,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.6445725000230595],['text_3'],,,,,0,6,6,0,23.5200911,,,,,,,,23.5058785,23.5200911,23.5200911,23.5200911,0.001882,27.1506418,vase,[np.float64(-0.12222222222222222)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.6445725000230595],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,7,7,0,,,c_m_r_,camera,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[2.6789686999982223],['text_3'],,,,,0,7,7,6,27.1667943,,,,,,,,27.1530213,27.1667943,27.1667943,27.1667943,0.0023009,29.8322497,camera,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[2.6789686999982223],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,8,8,0,,,_ea_o_,,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.7466372000053525],['text_3'],,,,,0,8,8,5,29.847661,,,,,,,,29.8347115,29.847661,29.847661,29.847661,0.0023513,30.5815846,,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.7466372000053525],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
,9,9,0,,,_p_a_d_,,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.779248800012283],['text_3'],,,,,0,9,9,7,30.5973591,,,,,,,,30.5847972,30.5973591,30.5973591,30.5973591,0.0031302,31.3642598,,[np.float64(-0.08796296296296297)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.779248800012283],['text_3'],397091,1,2025-10-14_16h19.07.501,word priminig,,2025.1.1,60.20719706,2025-10-14 16h19.10.476549 +0530
