word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,text.stopped,present_word.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.011102500022388995,,0.008627200033515692,0.011102500022388995,1.008399099984672,0.999783799983561,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
chair,1,1,0,0,1,1,1,1.008399099984672,,1.005013299989514,1.008399099984672,2.00175490003312,1.9915823999908753,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
music,2,2,0,0,2,2,2,2.00175490003312,,1.9978809999884106,2.00175490003312,3.000423100020271,2.991633300029207,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
dream,3,3,0,0,3,3,3,3.000423100020271,,2.9967393000260927,3.000423100020271,3.9992498999927193,3.991297200031113,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
paper,4,4,0,0,4,4,4,3.9992498999927193,,3.995979700004682,3.9992498999927193,4.992141800001264,4.983335199998692,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
tiger,5,5,0,0,5,5,5,4.992141800001264,,4.988441199995577,4.992141800001264,5.993450200010557,5.98372770001879,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
window,6,6,0,0,6,6,6,5.993450200010557,,5.989828200021293,5.993450200010557,6.99101990001509,6.983247000025585,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
flower,7,7,0,0,7,7,7,6.99101990001509,,6.987744999991264,6.99101990001509,7.9823643999989145,7.975176499981899,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
book,8,8,0,0,8,8,8,7.9823643999989145,,7.97964510001475,7.990603499987628,8.982739900005981,8.97505700000329,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
lamp,9,9,0,0,9,9,9,8.982739900005981,,8.979843300010543,8.990911900007632,9.982243600010406,9.974420299986377,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
ocean,10,10,0,0,10,10,10,9.982243600010406,,9.978882000024896,9.998974699992687,10.990494700032286,10.982802200014703,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
phone,11,11,0,0,11,11,11,10.990494700032286,,10.987151100009214,10.990494700032286,11.983279999985825,11.975269499991555,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
candle,12,12,0,0,12,12,12,11.983279999985825,,11.98075789998984,11.991289800032973,12.982430700038094,12.974507800012361,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
spoon,13,13,0,0,13,13,13,12.982430700038094,,12.978636500018183,12.990768700023182,13.98237079998944,13.974482599995099,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
shoe,14,14,0,0,14,14,14,13.98237079998944,,13.97809910000069,13.991017299995292,14.982274400012102,14.974217400013003,,,,,,,,,,,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
,,,,,,,,,,,,,,14.974733099981677,15.000911000010092,15.000911000010092,15.000911000010092,37.74180790001992,apple chair spoon ocean tiger,return,22.738956599961966,None,apple chair spoon ocean tiger,,,,,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,37.741935199999716,37.750673400005326,39.748576599988155,39.741277599998284,980755,001,2025-11-24_01h06.55.634,Serial Position Effect_SoloProject,,2025.1.1,120.17988525088212,2025-11-24 01h07.00.644087 +0530,
