word,thisN,thisTrialN,thisRepN,wordloop.thisRepN,wordloop.thisTrialN,wordloop.thisN,wordloop.thisIndex,thisRow.t,notes,present_word.started,text.started,present_word.stopped,text.stopped,recall.started,text_2.started,recall_box.started,key_resp.started,recall.stopped,recall_box.text,key_resp.keys,key_resp.rt,key_resp.duration,recalled_words,thankyou.started,text_3.started,text_3.stopped,thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
apple,0,0,0,0,0,0,0,0.021509099984541535,,0.01728309999452904,0.021509099984541535,1.00602460000664,,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
chair,1,1,0,0,1,1,1,1.015364499995485,,1.0109352999716066,1.015364499995485,2.005625299992971,,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
music,2,2,0,0,2,2,2,2.014005599950906,,2.0099651999771595,2.014005599950906,2.998375399969518,3.0055999999749474,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
dream,3,3,0,0,3,3,3,3.0055999999749474,,3.002433999965433,3.0055999999749474,3.990003299957607,3.9998290999792516,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
paper,4,4,0,0,4,4,4,3.9998290999792516,,3.9952822999912314,3.9998290999792516,4.990268399997149,4.997416199999861,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
tiger,5,5,0,0,5,5,5,4.997416199999861,,4.994365899998229,4.997416199999861,5.981387099949643,5.989223799959291,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
window,6,6,0,0,6,6,6,5.989223799959291,,5.986290399974678,5.9975124999764375,6.981241899949964,6.989103299973067,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
flower,7,7,0,0,7,7,7,6.989103299973067,,6.984696700004861,6.99764379998669,7.981421499978751,7.98912509996444,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
book,8,8,0,0,8,8,8,7.98912509996444,,7.985155200003646,7.997738599951845,8.981407499988563,8.989262099959888,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
lamp,9,9,0,0,9,9,9,8.989262099959888,,8.985373399977107,8.997651399986353,9.98191879998194,9.988869499997236,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
ocean,10,10,0,0,10,10,10,9.988869499997236,,9.985697500000242,9.997631899954285,10.98179180000443,10.988835699972697,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
phone,11,11,0,0,11,11,11,10.988835699972697,,10.98617769998964,10.997631599952001,11.981289499963168,11.988815099990461,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
candle,12,12,0,0,12,12,12,11.988815099990461,,11.986083699972369,11.997859099996276,12.981130599975586,12.988839900004677,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
spoon,13,13,0,0,13,13,13,12.988839900004677,,12.986009099986404,12.997616899956483,13.980989200004842,13.988907699997071,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
shoe,14,14,0,0,14,14,14,13.988907699997071,,13.983927899971604,13.997606899996754,14.98071059997892,14.988944899989292,,,,,,,,,,,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
,,,,,,,,,,,,,,14.981258799962234,14.999904999975115,14.999904999975115,14.999904999975115,26.11440019996371,phone spoon chair ,return,11.11054200003855,None,phone spoon chair ,,,,,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,26.114527800003998,26.12179720000131,28.113668499980122,28.106851499993354,940054,001,2025-11-24_01h07.52.831,Serial Position Effect_SoloProject,,2025.1.1,119.38274340532678,2025-11-24 01h07.55.629732 +0530,
